site;plot;size;____;__;species;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;cover;production;investigator;recorder;time;Total cover(%);AH1;AH2;AH3;AH4;AH5
H;I-2;50cm*50cm;__;;Primula amethystina subsp.argutidens;0,9;0,8;;;;;;;;;0,9;0,0318 ;__;___;2015.07.24;;;;;;
H;I-4;50cm*50cm;__;;Fragaria orientalis;2;1,1;;;;;;;;;0,8;;__;___;2015.07.25;;;;;;
H;I-2;50cm*50cm;___;;Anemone demissa;0,8;;;;;;;;;;0,2;0,0057 ;__;___;2015.07.24;;;;;;
H;I-3;50cm*50cm;___;;Anemone demissa;1,2;2,3;;;;;;;;;0,7;0,1746 ;__;___;2015.07.25;;;;;;
H;I-4;50cm*50cm;___;;Anemone demissa;3;;;;;;;;;;1;0,0690 ;__;___;2015.07.25;;;;;;
H;I-5;50cm*50cm;___;;Anemone demissa;1,1;;;;;;;;;;0,8;0,0721 ;__;___;2015.07.26;;;;;;
H;I-6;50cm*50cm;___;;Anemone demissa;1,2;2;;;;;;;;;0,4;0,0864 ;__;___;2015.07.26;;;;;;
H;I-7;50cm*50cm;___;;Anemone demissa;2,6;1,8;3;1,5;;;;;;;1;0,2695 ;__;___;2015.07.26;;;;;;
H;I-8;50cm*50cm;___;;Anemone demissa;1,4;2,4;;;;;;;;;0,5;0,0694 ;__;___;2015.07.26;;;;;;
H;I-9;50cm*50cm;___;;Anemone demissa;1,5;2,4;;;;;;;;;2;0,3087 ;__;___;2015.07.29;;;;;;
H;I-10;50cm*50cm;___;;Anemone demissa;3,5;2,5;2,1;;;;;;;;2;0,1647 ;__;___;2015.08.01;;;;;;
H;I-11;50cm*50cm;___;;Anemone demissa;1,1;1,3;;;;;;;;;0,6;0,0775 ;__;___;2015.08.01;;;;;;
H;I-13;50cm*50cm;___;;Anemone demissa;2,5;;;;;;;;;;0,5;0,2053 ;__;___;2015.08.01;;;;;;
H;I-3;50cm*50cm;____;;Ligusticum scapiforme;2,3;1,8;;;;;;;;;1,2;0,4523 ;__;___;2015.07.25;;;;;;
H;I-5;50cm*50cm;____;;Ligusticum scapiforme;2,5;;;;;;;;;;1,2;0,2078 ;__;___;2015.07.26;;;;;;
H;I-12;50cm*50cm;____;;Ligusticum scapiforme;1,3;;;;;;;;;;1,1;0,1996 ;__;___;2015.08.01;;;;;;
H;I-1;50cm*50cm;_____;;Tanacetum tatsienense;1,1;1;2,2;0,8;1,5;2,3;2,8;;;;2,5;0,1845 ;__;___;2015.07.24;;;;;;
H;I-2;50cm*50cm;_____;;Tanacetum tatsienense;0,8;1;;;;;;;;;1,5;0,0847 ;__;___;2015.07.24;;;;;;
H;I-3;50cm*50cm;_____;;Tanacetum tatsienense;2,1;2,2;2,5;;;;;;;;1,3;0,1602 ;__;___;2015.07.25;;;;;;
H;I-4;50cm*50cm;_____;;Tanacetum tatsienense;0,8;0,6;0,8;0,6;0,4;0,5;0,3;0,8;;;5;0,6007 ;__;___;2015.07.25;;;;;;
H;I-5;50cm*50cm;_____;;Tanacetum tatsienense;1,2;1,1;2,5;0,8;2,3;0,8;0,5;0,8;0,4;;2;0,3017 ;__;___;2015.07.26;;;;;;
H;I-6;50cm*50cm;_____;;Tanacetum tatsienense;0,5;0,8;1,2;0,3;1,5;1,3;1,5;1,1;1,2;;4;0,2881 ;__;___;2015.07.26;;;;;;
H;I-7;50cm*50cm;_____;;Tanacetum tatsienense;4,5;3,4;1,2;3;1,1;1,1;2,4;1,5;2,5;1,8;5;0,6295 ;__;___;2015.07.26;;;;;;
H;I-8;50cm*50cm;_____;;Tanacetum tatsienense;2;1,5;1;;;;;;;;1,5;0,0442 ;__;___;2015.07.26;;;;;;
H;I-9;50cm*50cm;_____;;Tanacetum tatsienense;0,5;0,9;0,8;1,1;1,5;0,9;0,6;0,9;;;1,5;0,1718 ;__;___;2015.07.29;;;;;;
H;I-10;50cm*50cm;_____;;Tanacetum tatsienense;1,1;1,6;1,8;1,2;1,3;1,4;2,3;;;;3,1;0,4252 ;__;___;2015.08.01;;;;;;
H;I-11;50cm*50cm;_____;;Tanacetum tatsienense;1,8;1,7;1,6;3,8;3,6;3,4;3,1;2,8;1,1;1,3;2,8;0,9991 ;__;___;2015.08.01;;;;;;
H;I-13;50cm*50cm;_____;;Tanacetum tatsienense;1,8;1,3;1,1;0,9;0,9;2,5;1,4;3;2,8;0,5;5;0,4606 ;__;___;2015.08.01;;;;;;
H;I-1;50cm*50cm;___;;Juncus leucomelas;17;14;9;5;;;;;;;0,2;0,0202 ;__;___;2015.07.24;;;;;;
H;I-3;50cm*50cm;___;;Juncus leucomelas;7,8;;;;;;;;;;0,1;0,0097 ;__;___;2015.07.25;;;;;;
H;I-10;50cm*50cm;___;;Juncus leucomelas;9,1;;;;;;;;;;0,1;;__;___;2015.08.01;;;;;;
H;I-1;50cm*50cm;___;;Androsace minor ;1;0,8;;;;;;;;;0,2;0,0542 ;__;___;2015.07.24;;;;;;
H;I-5;50cm*50cm;___;;Androsace minor ;0,8;0,7;1,1;1,3;1,1;2;1,6;1,3;1,1;0,8;25;2,2921 ;__;___;2015.07.26;;;;;;
H;I-6;50cm*50cm;___;;Androsace minor ;0,8;0,3;0,5;0,2;0,1;0,8;1,1;1,3;0,6;0,4;1,5;0,9352 ;__;___;2015.07.26;;;;;;
H;I-7;50cm*50cm;___;;Androsace minor ;0,5;;;;;;;;;;0,8;0,2746 ;__;___;2015.07.26;;;;;;
H;I-8;50cm*50cm;___;;Androsace minor ;0,6;0,4;3;1,5;1;1,2;0,5;0,4;1,2;1,1;1,5;0,8483 ;__;___;2015.07.26;;;;;;
